"year","position","round","heat","bib","athlete","country","time","notes"
2011,1,3,1,740,"Caster SEMENYA","RSA",116.4,""
2011,2,3,1,569,"Janeth Jepkosgei BUSIENEI","KEN",117.4,""
2011,3,3,1,955,"Alysia MONTAÑO","USA",117.5,""
2011,4,3,1,984,"Maggie VESSEY","USA",118.5,""
2011,5,3,1,523,"Kenia SINCLAIR","JAM",118.7,""
2011,NA,3,1,782,"Mariya SAVINOVA","RUS",115.9,"DQ"
2011,NA,3,1,767,"Ekaterina KOSTETSKAYA","RUS",117.8,"DQ"
2011,NA,3,1,781,"Iuliia STEPANOVA","RUS",119.7,"DQ"
2011,1,2,1,984,"Maggie VESSEY","USA",118.98,""
2011,2,2,1,396,"Jennifer MEADOWS","GBR",119.1,""
2011,3,2,1,589,"Eunice Jepkoech SUM","KEN",119.9,""
2011,4,2,1,257,"Rosibel GARCÍA","COL",120.79,""
2011,5,2,1,873,"Annet NEGESA","UGA",121.5,""
2011,6,2,1,144,"Marina ARZAMASOVA","BLR",122.1,""
2011,NA,2,1,781,"Iuliia STEPANOVA","RUS",118.7,"DQ"
2011,NA,2,1,643,"Halima HACHLAF","MAR",NA,"DNF"
2011,1,2,2,569,"Janeth Jepkosgei BUSIENEI","KEN",118.5,""
2011,2,2,2,955,"Alysia MONTAÑO","USA",118.67,""
2011,3,2,2,886,"Liliya LOBANOVA","UKR",119.4,""
2011,4,2,2,392,"Emma JACKSON","GBR",119.77,""
2011,5,2,2,472,"Tintu LUKKA","IND",120.95,""
2011,6,2,2,827,"Lucia HRIVNÁK KLOCOVÁ","SVK",121.9,""
2011,7,2,2,102,"Zahra BOURAS","ALG",132.1,""
2011,NA,2,2,782,"Mariya SAVINOVA","RUS",118.4,"DQ"
2011,1,2,3,740,"Caster SEMENYA","RSA",118.07,""
2011,2,2,3,523,"Kenia SINCLAIR","JAM",118.93,""
2011,3,2,3,351,"Fantu MAGISO","ETH",119.17,""
2011,4,2,3,974,"Alice SCHMIDT","USA",121.2,""
2011,5,2,3,580,"Cherono KOECH","KEN",121.5,""
2011,6,2,3,398,"Marilyn OKORO","GBR",121.5,""
2011,7,2,3,885,"Yuliya KREVSUN","UKR",125.4,""
2011,NA,2,3,767,"Ekaterina KOSTETSKAYA","RUS",118.6,"DQ"
2011,1,1,1,396,"Jennifer MEADOWS","GBR",121.11,""
2011,2,1,1,984,"Maggie VESSEY","USA",121.32,""
2011,3,1,1,257,"Rosibel GARCÍA","COL",121.33,""
2011,4,1,1,589,"Eunice Jepkoech SUM","KEN",121.37,""
2011,5,1,1,632,"Egle BALCIÜNAITÉ","LTU",122.9,""
2011,6,1,1,667,"Yvonne HAK","NED",123.1,""
2011,NA,1,1,781,"Iuliia STEPANOVA","RUS",121.4,"DQ"
2011,1,1,2,523,"Kenia SINCLAIR","JAM",121.66,""
2011,2,1,2,643,"Halima HACHLAF","MAR",121.8,""
2011,3,1,2,885,"Yuliya KREVSUN","UKR",121.88,""
2011,4,1,2,144,"Marina ARZAMASOVA","BLR",121.97,""
2011,5,1,2,351,"Fantu MAGISO","ETH",122.58,""
2011,6,1,2,856,"Merve AYDIN","TUR",124.9,""
2011,7,1,2,597,"Yeon-jung HUH","KOR",128.1,""
2011,8,1,2,306,"Zourah ALI","DJI",156.36,""
2011,1,1,3,569,"Janeth Jepkosgei BUSIENEI","KEN",119.36,""
2011,2,1,3,955,"Alysia MONTAÑO","USA",119.62,""
2011,3,1,3,398,"Marilyn OKORO","GBR",119.74,""
2011,4,1,3,101,"Luiza GEGA","ALB",123.2,""
2011,5,1,3,564,"Margarita MUKASHEVA","KAZ",124.2,""
2011,NA,1,3,767,"Ekaterina KOSTETSKAYA","RUS",119.6,"DQ"
2011,NA,1,3,889,"Tetiana PETLYUK","UKR",NA,"DNF"
2011,1,1,4,740,"Caster SEMENYA","RSA",121.01,""
2011,2,1,4,580,"Cherono KOECH","KEN",121.03,""
2011,3,1,4,974,"Alice SCHMIDT","USA",121.11,""
2011,4,1,4,392,"Emma JACKSON","GBR",121.17,""
2011,5,1,4,472,"Tintu LUKKA","IND",121.89,""
2011,6,1,4,999,"Truong Thanh HANG","VIE",123.5,""
2011,NA,1,4,782,"Mariya SAVINOVA","RUS",121,"DQ"
2011,1,1,5,873,"Annet NEGESA","UGA",122.75,""
2011,2,1,5,102,"Zahra BOURAS","ALG",122.77,""
2011,3,1,5,827,"Lucia HRIVNÁK KLOCOVÁ","SVK",122.81,""
2011,4,1,5,886,"Liliya LOBANOVA","UKR",122.84,""
2011,5,1,5,695,"Nikki HAMBLIN","NZL",122.87,""
2011,6,1,5,198,"Lemlem BEREKET","CAN",123.6,""
2011,7,1,5,159,"Sviatlana USOVICH","BLR",125.6,""
2013,1,3,1,571,"Eunice Jepkoech SUM","KEN",117.38,""
2013,2,3,1,928,"Brenda MARTINEZ","USA",117.91,""
2013,3,3,1,923,"Alysia MONTAÑO","USA",118,""
2013,4,3,1,745,"Ekaterina POISTOGOVA","RUS",118.05,""
2013,5,3,1,959,"Ajee WILSON","USA",118.21,""
2013,6,3,1,854,"Nataliia LUPU","UKR",119.8,""
2013,7,3,1,289,"Lenka MASNÁ","CZE",120.6,""
2013,NA,3,1,760,"Mariya SAVINOVA","RUS",117.8,"DQ"
2013,1,2,1,923,"Alysia MONTAÑO","USA",118.92,""
2013,2,2,1,928,"Brenda MARTINEZ","USA",119.03,""
2013,3,2,1,854,"Nataliia LUPU","UKR",119.43,""
2013,4,2,1,745,"Ekaterina POISTOGOVA","RUS",119.48,""
2013,5,2,1,289,"Lenka MASNÁ","CZE",119.56,""
2013,6,2,1,600,"Halima HACHLAF","MAR",120.6,""
2013,7,2,1,394,"Laura MUIR","GBR",120.8,""
2013,8,2,1,554,"Winny CHEBET","KEN",121,""
2013,1,2,2,571,"Eunice Jepkoech SUM","KEN",120.7,""
2013,2,2,2,959,"Ajee WILSON","USA",120.9,""
2013,3,2,2,274,"Rose Mary ALMANZA","CUB",121,""
2013,4,2,2,151,"Marina ARZAMASOVA","BLR",121.2,""
2013,5,2,2,734,"Elena KOTULSKAYA","RUS",121.8,""
2013,6,2,2,395,"Marilyn OKORO","GBR",122.3,""
2013,7,2,2,597,"Malika AKKAOUI","MAR",122.3,""
2013,NA,2,2,760,"Mariya SAVINOVA","RUS",120.7,"DQ"
2013,1,1,1,928,"Brenda MARTINEZ","USA",119.39,""
2013,2,1,1,395,"Marilyn OKORO","GBR",119.43,""
2013,3,1,1,554,"Winny CHEBET","KEN",119.58,""
2013,4,1,1,151,"Marina ARZAMASOVA","BLR",119.6,""
2013,5,1,1,485,"Marta MILANI","ITA",122.4,""
2013,6,1,1,198,"Karine BELLEAU-BÉLIVEAU","CAN",122.9,""
2013,7,1,1,587,"Egle BALCIÜNAITÉ","LTU",128.8,""
2013,NA,1,1,760,"Mariya SAVINOVA","RUS",119.4,"DQ"
2013,1,1,2,923,"Alysia MONTAÑO","USA",119.47,""
2013,2,1,2,854,"Nataliia LUPU","UKR",119.59,""
2013,3,1,2,600,"Halima HACHLAF","MAR",120.04,""
2013,4,1,2,646,"Angela PETTY","NZL",120.6,""
2013,5,1,2,392,"Jessica JUDD","GBR",121.5,""
2013,6,1,2,246,"Chunyu WANG","CHN",122.05,""
2013,7,1,2,468,"Rose-Anne GALLIGAN","IRL",122,""
2013,8,1,2,746,"Marina POSPELOVA","RUS",123.4,""
2013,1,1,3,597,"Malika AKKAOUI","MAR",119.63,""
2013,2,1,3,745,"Ekaterina POISTOGOVA","RUS",119.9,""
2013,3,1,3,959,"Ajee WILSON","USA",120,""
2013,4,1,3,274,"Rose Mary ALMANZA","CUB",120.27,""
2013,5,1,3,289,"Lenka MASNÁ","CZE",120.31,""
2013,6,1,3,511,"Natoya GOULE","JAM",120.9,""
2013,7,1,3,855,"Olha LYAKHOVA","UKR",121,""
2013,8,1,3,197,"Elisabeth MANDABA","CAF",134.35,""
2013,1,1,4,571,"Eunice Jepkoech SUM","KEN",120.49,""
2013,2,1,4,734,"Elena KOTULSKAYA","RUS",120.5,""
2013,3,1,4,394,"Laura MUIR","GBR",120.8,""
2013,4,1,4,340,"Fantu MAGISO","ETH",121.1,""
2013,5,1,4,116,"Kelly HETHERINGTON","AUS",121.6,""
2013,6,1,4,199,"Melissa BISHOP","CAN",121.9,""
2013,7,1,4,549,"Margarita MUKASHEVA","KAZ",122.1,""
2013,8,1,4,689,"Elena Mirela LAVRIC","ROU",130.4,""
